bc/std,2013,2015,2020,2025,2030,2035
A00 Burgwallen-Oude Zijde,4091,4126,4068,4023,3980,3949
A01 Burgwallen-Nieuwe Zijde,4394,4532,4578,4557,4503,4460
A02 Grachtengordel-West,6991,7187,7013,6923,6842,6773
A03 Grachtengordel-Zuid,4327,4382,4418,4454,4380,4329
A04 Nieuwmarkt/Lastage,9324,9783,9767,9863,9688,9573
A05 Haarlemmerbuurt,9214,9434,9160,8942,8719,8570
A06 Jordaan,19125,19540,19135,18940,18618,18395
A07 De Weteringschans,7293,7451,7341,7232,7107,7008
A08 Weesperbuurt/Plantage,7719,7809,7664,7559,7437,7355
A09 Oostelijke Eilanden/Kadijken,13140,13370,13488,13322,13090,12902
A Centrum,85618,87614,86632,85815,84364,83314
B10 Westelijk Havengebied,294,233,239,252,263,272
B11 Bedrijventerrein Sloterdijk,212,214,226,238,230,224
B Westpoort,506,447,465,490,493,496
E12 Houthavens,1706,1916,1966,3525,4629,4956
E13 Spaarndammer- en Zeeheldenbuurt,10645,10697,10510,10549,10355,10210
E14 Staatsliedenbuurt,12504,12680,12748,12609,12392,12228
E15 Centrale Markt,2559,2593,2538,3288,4085,4627
E16 Frederik Hendrikbuurt,7991,8045,7996,7894,7773,7683
E17 Da Costabuurt,4564,4561,4509,4453,4398,4340
E18 Kinkerbuurt,5976,5933,6277,6544,6476,6413
E19 Van Lennepbuurt,6914,7085,7001,6920,6789,6688
E20 Helmersbuurt,7456,7595,7487,7496,7346,7214
E21 Overtoomse Sluis,7605,7774,7685,7592,7463,7360
E22 Vondelbuurt,1805,1802,1791,1762,1731,1712
E36 Sloterdijk,122,119,106,141,149,142
E37 Landlust,18408,18923,19023,19399,19036,18737
E38 Erasmuspark,5792,5813,5701,5624,5560,5494
E39 De Kolenkit,8605,8842,9657,11256,11146,11010
E40 De Krommert,12845,12791,12572,12420,12244,12106
E41 Van Galenbuurt,6407,6366,6252,6200,6123,6066
E42 Hoofdweg e.o.,10224,10312,10084,9927,9779,9679
E43 Westindische Buurt,6440,6519,6383,6317,6235,6172
E West,138568,140366,140286,143916,143709,142837
F75 Spieringhorn,4,4,-,-,-,-
F76 Slotermeer-Noordoost,9408,9506,9101,9430,9218,9023
F77 Slotermeer-Zuidwest,16361,16900,16686,16557,16844,16517
F78 Geuzenveld,14348,14508,14654,12696,13607,13355
F79 Eendracht,2343,2357,2315,2288,2261,2230
F80 Lutkemeer/Ookmeer,879,895,898,886,868,845
F81 Osdorp-Oost,15719,16495,16125,17125,16800,16469
F82 Osdorp-Midden,14840,15073,15256,14307,14275,14009
F83 De Punt,5085,4670,5053,5532,5487,5389
F84 Middelveldsche Akerpolder/Sloten,14906,14858,14399,14170,13972,13811
F85 Slotervaart,17286,16909,19036,18577,18769,18443
F86 Overtoomse Veld,10310,10931,11184,11806,14019,14326
F87 Westlandgracht,7074,7691,8410,8918,10257,11181
F88 Sloter-/Riekerpolder,13262,13435,13044,13105,12954,12824
F Nieuw-West,141825,144232,146161,145397,149331,148422
K24 Oude Pijp,14546,14811,14608,14469,14278,14135
K25 Nieuwe Pijp,11943,11962,11951,11823,11682,11580
K26 Diamantbuurt,8148,8136,7934,7823,7708,7612
K44 Hoofddorppleinbuurt,11302,11307,11295,11164,11064,10926
K45 Schinkelbuurt,3721,3819,3770,4247,4658,4573
K46 Willemspark,5559,5582,5528,5451,5322,5221
K47 Museumkwartier,11410,11678,11576,11366,11118,10931
K48 Stadionbuurt,11295,11574,11472,11305,11109,10973
K49 Apollobuurt,8529,8688,8546,8389,8212,8080
