bc/std,2009,2010,2011,2012,2013,mannen,vrouwen
A00 Burgwallen-Oude Zijde,3783,3900,3928,4013,4091,2298,1793
A01 Burgwallen-Nieuwe Zijde,4048,4468,4495,4407,4394,2464,1930
A02 Grachtengordel-West,6890,6800,6939,7033,6991,3709,3282
A03 Grachtengordel-Zuid,4188,4233,4343,4274,4327,2333,1994
A04 Nieuwmarkt/Lastage,8783,8808,9008,9021,9324,4855,4469
A05 Haarlemmerbuurt,7918,8704,8925,9046,9214,4649,4565
A06 Jordaan,18662,18930,18982,19093,19125,9670,9455
A07 De Weteringschans,6861,6973,7101,7146,7293,3725,3568
A08 Weesperbuurt/Plantage,7365,7294,7518,7405,7719,3921,3798
A09 Oostelijke Eilanden/Kadijken,12807,12603,12791,13103,13140,6572,6568
A Centrum,81305,82713,84030,84541,85618,44196,41422
B10 Westelijk Havengebied,229,244,240,242,294,205,89
B11 Bedrijventerrein Sloterdijk,160,165,194,206,212,154,58
B Westpoort,389,409,434,448,506,359,147
E12 Houthavens,1878,1749,1943,1909,1706,790,916
E13 Spaarndammer- en Zeeheldenbuurt,9917,9968,10319,10583,10645,5291,5354
E14 Staatsliedenbuurt,11875,11921,12094,12400,12504,6224,6280
E15 Centrale Markt,2615,2586,2596,2587,2559,1261,1298
E16 Frederik Hendrikbuurt,7862,7831,7920,7876,7991,3954,4037
E17 Da Costabuurt,4350,4395,4429,4448,4564,2253,2311
E18 Kinkerbuurt,5044,5140,5172,5399,5976,3167,2809
E19 Van Lennepbuurt,6709,6775,6824,6937,6914,3433,3481
E20 Helmersbuurt,6903,7120,7235,7337,7456,3524,3932
E21 Overtoomse Sluis,7058,7243,7479,7547,7605,3621,3984
E22 Vondelbuurt,1696,1728,1716,1752,1805,922,883
E36 Sloterdijk,104,99,113,113,122,70,52
E37 Landlust,17513,17965,18299,18098,18408,9204,9204
E38 Erasmuspark,5531,5500,5658,5710,5792,2810,2982
E39 De Kolenkit,7219,7313,7215,7952,8605,4192,4413
E40 De Krommert,11814,11949,12156,12302,12845,6252,6593
E41 Van Galenbuurt,5460,5502,5542,5583,6407,3378,3029
E42 Hoofdweg e.o.,9988,10026,10058,10149,10224,5064,5160
E43 Westindische Buurt,6374,6393,6461,6401,6440,3097,3343
E West,129910,131203,133229,135083,138568,68507,70061
F75 Spieringhorn,2,2,3,4,4,4,-
F76 Slotermeer-Noordoost,9243,9177,9302,9301,9408,4820,4588
F77 Slotermeer-Zuidwest,15847,16069,16525,16479,16361,8286,8075
F78 Geuzenveld,13228,12822,13214,14020,14348,7171,7177
F79 Eendracht,2350,2335,2338,2327,2343,1144,1199
F80 Lutkemeer/Ookmeer,883,876,882,873,879,438,441
F81 Osdorp-Oost,14444,15054,15392,15536,15719,7618,8101
F82 Osdorp-Midden,12136,13442,14012,14573,14840,7177,7663
F83 De Punt,5080,5113,5090,5099,5085,2580,2505
F84 Middelveldsche Akerpolder/Sloten,14968,14987,14889,14825,14906,7325,7581
F85 Slotervaart,16738,16485,16799,16792,17286,8304,8982
F86 Overtoomse Veld,9890,10475,10446,10302,10310,5076,5234
F87 Westlandgracht,4879,5154,5846,6349,7074,3677,3397
F88 Sloter-/Riekerpolder,13286,13197,13349,13406,13262,6500,6762
F Nieuw-West,132974,135188,138087,139886,141825,70120,71705
K24 Oude Pijp,13665,13771,14102,14425,14546,7354,7192
K25 Nieuwe Pijp,11419,11539,11674,11666,11943,5771,6172
K26 Diamantbuurt,8036,7976,8032,8047,8148,3893,4255
K44 Hoofddorppleinbuurt,10657,10846,10936,11062,11302,5145,6157
K45 Schinkelbuurt,3686,3727,3761,3732,3721,1814,1907
K46 Willemspark,5197,5233,5333,5396,5559,2718,2841
K47 Museumkwartier,11159,11283,11304,11347,11410,5501,5909
K48 Stadionbuurt,11796,12058,12487,12487,11295,5320,5975
K49 Apollobuurt,8047,8167,8306,8452,8529,4036,4493
K50 Duivelseiland,1228,1279,1309,1330,1327,620,707
K52 Scheldebuurt,13384,13720,13873,14025,14326,6622,7704
K53 IJselbuurt,5045,5035,5040,5147,5155,2450,2705
K54 Rijnbuurt,8511,8641,8820,8889,8998,4142,4856
K59 Station Zuid/WTC e.o.,1234,1248,1358,1357,1327,633,694
K90 Buitenveldert-West,11924,12181,12418,12922,13059,6089,6970
K91 Buitenveldert-Oost,7165,7106,7109,7319,7256,3268,3988
K Zuid,132153,133810,135862,137603,137901,65376,72525
M27 Weesperzijde,4606,4650,4734,4708,4854,2457,2397
M28 Oosterparkbuurt,10215,10251,10271,10287,10096,5090,5006
M29 Dapperbuurt,7959,7975,8206,8228,8259,4070,4189
M30 Transvaalbuurt,9218,9301,9248,9190,8918,4441,4477
M31 Indische Buurt West,11642,12061,12407,12650,12691,6448,6243
M32 Indische Buurt Oost,10246,10425,10399,10258,10075,5075,5000
M33 Oostelijk Havengebied,17555,17670,17984,17897,17972,9089,8883
M34 Zeeburgereiland/Nieuwe Diep,458,468,756,802,837,418,419
M35 IJburg West,10339,11842,12667,13657,13946,6945,7001
M51 IJburg Zuid,2442,3660,4701,5474,6203,2964,3239
M52 IJburg Oost,0,0,0,0,0,0,0
M55 Frankendael,9626,9705,9966,10015,9578,4683,4895
M56 Middenmeer,13035,13526,13759,13930,14168,6744,7424
M57 Betondorp,3076,3074,3107,3089,3087,1459,1628
M58 De Omval,2028,2007,2029,2090,2163,1113,1050
M Oost,112445,116615,120234,122275,122847,60996,61851
N60 Volewijck,9479,9395,9403,9394,9366,4670,4696
N61 IJplein/Vogelbuurt,8364,8310,8206,8201,8147,4131,4016
N62 Tuindorp Nieuwendam,3419,3425,3424,3418,3388,1573,1815
N63 Tuindorp Buiksloot,1839,1890,1881,1867,1868,893,975
N64 Nieuwendammerdijk/Buiksloterdijk,1616,1709,1705,1680,1693,855,838
N65 Tuindorp Oostzaan,10336,10373,10345,10313,10518,5049,5469
N66 Oostzanerwerf,8704,8719,8483,8635,8734,4208,4526
N67 Kadoelen,2892,2907,2859,2830,2816,1350,1466
N68 Nieuwendam-Noord,12921,12218,12179,12310,12547,5969,6578
N69 Buikslotermeer,11546,11959,12253,12578,12497,5881,6616
N70 Banne Buiksloot,12737,12523,12659,12747,13357,6385,6972
N71 Buiksloterham,605,646,1014,1115,1241,641,600
N72 Nieuwendammerham,121,133,123,117,107,64,43
N73 Waterland,2102,2120,2141,2137,2155,1090,1065
N Noord,86681,86327,86675,87342,88434,42759,45675
T92 Amstel III/Bullewijk,153,178,187,178,236,156,80
T93 Bijlmer Centrum (D,F,H),20666,20830,21226,21894,22875,11408,11467
T94 Bijlmer Oost (E,G,K),25153,25853,25835,26023,26267,13068,13199
