bc,std
A00,Burgwallen-Oude Zijde
A01,Burgwallen-Nieuwe Zijde
A02,Grachtengordel-West
A03,Grachtengordel-Zuid
A04,Nieuwmarkt/Lastage
A05,Haarlemmerbuurt
A06,Jordaan
A07,De Weteringschans
A08,Weesperbuurt/Plantage
A09,Oostelijke Eilanden/Kadijken
A,Centrum
B10,Westelijk Havengebied
B11,Bedrijventerrein Sloterdijk
B,Westpoort
E12,Houthavens
E13,Spaarndammer- en Zeeheldenbuurt
E14,Staatsliedenbuurt
E15,Centrale Markt
E16,Frederik Hendrikbuurt
E17,Da Costabuurt
E18,Kinkerbuurt
E19,Van Lennepbuurt
E20,Helmersbuurt
E21,Overtoomse Sluis
E22,Vondelbuurt
E36,Sloterdijk
E37,Landlust
E38,Erasmuspark
E39,De Kolenkit
E40,De Krommert
E41,Van Galenbuurt
E42,Hoofdweg en omgeving
E43,Westindische Buurt
E,West
F75,Spieringhorn
F76,Slotermeer-Noordoost
F77,Slotermeer-Zuidwest
F78,Geuzenveld
F79,Eendracht
F80,Lutkemeer en Ookmeer
F81,Osdorp-Oost
F82,Osdorp-Midden
F83,De Punt
F84,Middelveldsche Akerpolder en Sloten
F85,Slotervaart
F86,Overtoomse Veld
F87,Westlandgracht
F88,Sloten- en Riekerpolder
F,Nieuw-West
K24,Oude Pijp
K25,Nieuwe Pijp
K26,Diamantbuurt
K44,Hoofddorppleinbuurt
K45,Schinkelbuurt
K46,Willemspark
K47,Museumkwartier
K48,Stadionbuurt
K49,Apollobuurt
K50,Duivelseiland
K52,Scheldebuurt
K53,IJselbuurt
K54,Rijnbuurt
K59,Station-Zuid WTC en omgeving
K90,Buitenveldert-West
K91,Buitenveldert-Oost
K,Zuid
M27,Weesperzijde
M28,Oosterparkbuurt
M29,Dapperbuurt
M30,Transvaalbuurt
M31,Indische Buurt West
M32,Indische Buurt Oost
M33,Oostelijk Havengebied
M34,Zeeburgereiland/Nieuwe Diep
M35,IJburg West
M51,IJburg Zuid
M52,IJburg Oost
M55,Frankendael
M56,Middenmeer
M57,Betondorp
M58,De Omval
M,Oost
N60,Volewijck
N61,IJplein/Vogelbuurt
N62,Tuindorp Nieuwendam
N63,Tuindorp Buiksloot
N64,Nieuwendammerdijk/Buiksloterdijk
N65,Tuindorp Oostzaan
N66,Oostzanerwerf
N67,Kadoelen
N68,Nieuwendam-Noord
N69,Buikslotermeer
N70,Banne Buiksloot
N71,Buiksloterham
N72,Nieuwendammerham
N73,Waterland
N,Noord
T92,Amstel III/Bullewijk
T93,Bijlmer Centrum (D,F,H)
T94,Bijlmer Oost (E,G,K)
T95,Nellestein
T96,Holendrecht/Reigersbos
T97,Gein
T98,Driemond
T,Zuidoost
ASD,Amsterdam
